REF_DATE,GEO,DGUID,Central government operations,UOM,UOM_ID,SCALAR_FACTOR,COORDINATE, VALUE 
2017-10,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $(391.00)
2017-11,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(2,881.00)"
2017-12,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $523.00 
2018-01,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $125.00 
2018-02,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $2,784.00 "
2018-03,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(10,671.00)"
2018-04,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $2,538.00 "
2018-05,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $644.00 
2018-06,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $1,113.00 "
2018-07,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $142.00 
2018-08,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(1,875.00)"
2018-09,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(1,356.00)"
2018-10,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(1,113.00)"
2018-11,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(2,219.00)"
2018-12,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $2,452.00 "
2019-01,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(1,536.00)"
2019-02,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $4,306.00 "
2019-03,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(14,900.00)"
2019-04,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(2,126.00)"
2019-05,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $713.00 
2019-06,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $1,329.00 "
2019-07,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(1,470.00)"
2019-08,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(3,667.00)"
2019-09,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $(578.00)
2019-10,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(3,254.00)"
2019-11,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(2,700.00)"
2019-12,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $782.00 
2020-01,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1, $415.00 
2020-02,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $3,577.00 "
2020-03,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(14,794.00)"
2020-04,Canada,2016A000011124,"A. Budgetary balance, deficit (-) / surplus (+), (B - C)",Dollars,81,millions,1.1," $(42,837.00)"
