"","REF_DATE","Central.government.operations","VALUE","covid"
"1",2017-10-01,"A. Budgetary balance",-391,"Pre-COVID"
"2",2017-11-01,"A. Budgetary balance",-2881,"Pre-COVID"
"3",2017-12-01,"A. Budgetary balance",523,"Pre-COVID"
"4",2018-01-01,"A. Budgetary balance",125,"Pre-COVID"
"5",2018-02-01,"A. Budgetary balance",2784,"Pre-COVID"
"6",2018-03-01,"A. Budgetary balance",-10671,"Pre-COVID"
"7",2018-04-01,"A. Budgetary balance",2538,"Pre-COVID"
"8",2018-05-01,"A. Budgetary balance",644,"Pre-COVID"
"9",2018-06-01,"A. Budgetary balance",1113,"Pre-COVID"
"10",2018-07-01,"A. Budgetary balance",142,"Pre-COVID"
"11",2018-08-01,"A. Budgetary balance",-1875,"Pre-COVID"
"12",2018-09-01,"A. Budgetary balance",-1356,"Pre-COVID"
"13",2018-10-01,"A. Budgetary balance",-1113,"Pre-COVID"
"14",2018-11-01,"A. Budgetary balance",-2219,"Pre-COVID"
"15",2018-12-01,"A. Budgetary balance",2452,"Pre-COVID"
"16",2019-01-01,"A. Budgetary balance",-1536,"Pre-COVID"
"17",2019-02-01,"A. Budgetary balance",4306,"Pre-COVID"
"18",2019-03-01,"A. Budgetary balance",-14900,"Pre-COVID"
"19",2019-04-01,"A. Budgetary balance",-2126,"Pre-COVID"
"20",2019-05-01,"A. Budgetary balance",713,"Pre-COVID"
"21",2019-06-01,"A. Budgetary balance",1329,"Pre-COVID"
"22",2019-07-01,"A. Budgetary balance",-1470,"Pre-COVID"
"23",2019-08-01,"A. Budgetary balance",-3667,"Pre-COVID"
"24",2019-09-01,"A. Budgetary balance",-578,"Pre-COVID"
"25",2019-10-01,"A. Budgetary balance",-3254,"Pre-COVID"
"26",2019-11-01,"A. Budgetary balance",-2700,"Pre-COVID"
"27",2019-12-01,"A. Budgetary balance",782,"Pre-COVID"
"28",2020-01-01,"A. Budgetary balance",415,"Pre-COVID"
"29",2020-02-01,"A. Budgetary balance",3577,"Pre-COVID"
"30",2020-03-01,"A. Budgetary balance",-14794,"COVID"
"31",2020-04-01,"A. Budgetary balance",-42837,"COVID"
"32",2020-05-01,"A. Budgetary balance",-43932,"COVID"
"33",2020-06-01,"A. Budgetary balance",-33580,"COVID"
"34",2020-07-01,"A. Budgetary balance",-28228,"COVID"
"35",2020-08-01,"A. Budgetary balance",-21937,"COVID"
"36",2020-09-01,"A. Budgetary balance",-27593,"COVID"
"37",2020-10-01,"A. Budgetary balance",-18506,"COVID"
"38",2020-11-01,"A. Budgetary balance",-15403,"COVID"
"39",2020-12-01,"A. Budgetary balance",-16153,"COVID"
"40",2021-01-01,"A. Budgetary balance",-20009,"COVID"
"41",2021-02-01,"A. Budgetary balance",-14374,"COVID"
"42",2021-03-01,"A. Budgetary balance",-31443,"COVID"
"43",2021-04-01,"A. Budgetary balance",-9782,"COVID"
"44",2021-05-01,"A. Budgetary balance",-13980,"COVID"
"45",2021-06-01,"A. Budgetary balance",-12709,"COVID"
"46",2021-07-01,"A. Budgetary balance",-10856,"COVID"
"47",2021-08-01,"A. Budgetary balance",-9827,"COVID"
"48",2021-09-01,"A. Budgetary balance",-11414,"COVID"
"49",2021-10-01,"A. Budgetary balance",-3684,"COVID"
"50",2021-11-01,"A. Budgetary balance",-1443,"COVID"
"51",2021-12-01,"A. Budgetary balance",3583,"COVID"
"52",2022-01-01,"A. Budgetary balance",-5176,"COVID"
"53",2022-02-01,"A. Budgetary balance",5470,"COVID"
"54",2022-03-01,"A. Budgetary balance",-25748,"COVID"
"55",2022-04-01,"A. Budgetary balance",2662,"COVID"
"56",2022-05-01,"A. Budgetary balance",2661,"COVID"
"57",2022-06-01,"A. Budgetary balance",4877,"COVID"
"58",2022-07-01,"A. Budgetary balance",-3867,"COVID"
"59",2022-08-01,"A. Budgetary balance",-2454,"Post-COVID"
"60",2022-09-01,"A. Budgetary balance",-2157,"Post-COVID"
"61",2022-10-01,"A. Budgetary balance",-1896,"Post-COVID"
"62",2022-11-01,"A. Budgetary balance",-3379,"Post-COVID"
"63",2022-12-01,"A. Budgetary balance",-1983,"Post-COVID"
"64",2023-01-01,"A. Budgetary balance",-906,"Post-COVID"
"65",2023-02-01,"A. Budgetary balance",9533,"Post-COVID"
"66",2023-03-01,"A. Budgetary balance",-44405,"Post-COVID"
"67",2023-04-01,"A. Budgetary balance",-1827,"Post-COVID"
"68",2023-05-01,"A. Budgetary balance",3346,"Post-COVID"
"69",2023-06-01,"A. Budgetary balance",2105,"Post-COVID"
"70",2023-07-01,"A. Budgetary balance",-4860,"Post-COVID"
"71",2023-08-01,"A. Budgetary balance",-3053,"Post-COVID"
"72",2023-09-01,"A. Budgetary balance",-3883,"Post-COVID"
"73",2023-10-01,"A. Budgetary balance",-6959,"Post-COVID"
"74",2023-11-01,"A. Budgetary balance",-4013,"Post-COVID"
"75",2023-12-01,"A. Budgetary balance",-4472,"Post-COVID"
"76",2024-01-01,"A. Budgetary balance",-2059,"Post-COVID"
"77",2024-02-01,"A. Budgetary balance",8339,"Post-COVID"
"78",2024-03-01,"A. Budgetary balance",-33594,"Post-COVID"
"79",2024-04-01,"A. Budgetary balance",-4994,"Post-COVID"
"80",2024-05-01,"A. Budgetary balance",1101,"Post-COVID"
"81",2024-06-01,"A. Budgetary balance",939,"Post-COVID"
"82",2024-07-01,"A. Budgetary balance",-4412,"Post-COVID"
"83",2024-08-01,"A. Budgetary balance",-2546,"Post-COVID"
"84",2024-09-01,"A. Budgetary balance",-3169,"Post-COVID"
"85",2024-10-01,"A. Budgetary balance",-1493,"Post-COVID"
"86",2024-11-01,"A. Budgetary balance",-8213,"Post-COVID"
"87",2017-10-01,"B. Revenues",25252,"Pre-COVID"
"88",2017-11-01,"B. Revenues",22899,"Pre-COVID"
"89",2017-12-01,"B. Revenues",26649,"Pre-COVID"
"90",2018-01-01,"B. Revenues",28494,"Pre-COVID"
"91",2018-02-01,"B. Revenues",28544,"Pre-COVID"
"92",2018-03-01,"B. Revenues",26577,"Pre-COVID"
"93",2018-04-01,"B. Revenues",28719,"Pre-COVID"
"94",2018-05-01,"B. Revenues",25511,"Pre-COVID"
"95",2018-06-01,"B. Revenues",26926,"Pre-COVID"
"96",2018-07-01,"B. Revenues",26888,"Pre-COVID"
"97",2018-08-01,"B. Revenues",24903,"Pre-COVID"
"98",2018-09-01,"B. Revenues",25010,"Pre-COVID"
"99",2018-10-01,"B. Revenues",26695,"Pre-COVID"
"100",2018-11-01,"B. Revenues",25362,"Pre-COVID"
"101",2018-12-01,"B. Revenues",29310,"Pre-COVID"
"102",2019-01-01,"B. Revenues",29096,"Pre-COVID"
"103",2019-02-01,"B. Revenues",32040,"Pre-COVID"
"104",2019-03-01,"B. Revenues",27797,"Pre-COVID"
"105",2019-04-01,"B. Revenues",28926,"Pre-COVID"
"106",2019-05-01,"B. Revenues",27590,"Pre-COVID"
"107",2019-06-01,"B. Revenues",27859,"Pre-COVID"
"108",2019-07-01,"B. Revenues",27845,"Pre-COVID"
"109",2019-08-01,"B. Revenues",24595,"Pre-COVID"
"110",2019-09-01,"B. Revenues",27252,"Pre-COVID"
"111",2019-10-01,"B. Revenues",25465,"Pre-COVID"
"112",2019-11-01,"B. Revenues",26160,"Pre-COVID"
"113",2019-12-01,"B. Revenues",30292,"Pre-COVID"
"114",2020-01-01,"B. Revenues",30326,"Pre-COVID"
"115",2020-02-01,"B. Revenues",32159,"Pre-COVID"
"116",2020-03-01,"B. Revenues",25790,"COVID"
"117",2020-04-01,"B. Revenues",18681,"COVID"
"118",2020-05-01,"B. Revenues",13763,"COVID"
"119",2020-06-01,"B. Revenues",19914,"COVID"
"120",2020-07-01,"B. Revenues",21585,"COVID"
"121",2020-08-01,"B. Revenues",23257,"COVID"
"122",2020-09-01,"B. Revenues",31648,"COVID"
"123",2020-10-01,"B. Revenues",24067,"COVID"
"124",2020-11-01,"B. Revenues",25214,"COVID"
"125",2020-12-01,"B. Revenues",29560,"COVID"
"126",2021-01-01,"B. Revenues",28083,"COVID"
"127",2021-02-01,"B. Revenues",29177,"COVID"
"128",2021-03-01,"B. Revenues",34517,"COVID"
"129",2021-04-01,"B. Revenues",29909,"COVID"
"130",2021-05-01,"B. Revenues",29662,"COVID"
"131",2021-06-01,"B. Revenues",29626,"COVID"
"132",2021-07-01,"B. Revenues",29333,"COVID"
"133",2021-08-01,"B. Revenues",30437,"COVID"
"134",2021-09-01,"B. Revenues",26850,"COVID"
"135",2021-10-01,"B. Revenues",31512,"COVID"
"136",2021-11-01,"B. Revenues",31868,"COVID"
"137",2021-12-01,"B. Revenues",39152,"COVID"
"138",2022-01-01,"B. Revenues",35869,"COVID"
"139",2022-02-01,"B. Revenues",43200,"COVID"
"140",2022-03-01,"B. Revenues",39403,"COVID"
"141",2022-04-01,"B. Revenues",35709,"COVID"
"142",2022-05-01,"B. Revenues",35953,"COVID"
"143",2022-06-01,"B. Revenues",36217,"COVID"
"144",2022-07-01,"B. Revenues",35238,"COVID"
"145",2022-08-01,"B. Revenues",34081,"Post-COVID"
"146",2022-09-01,"B. Revenues",31375,"Post-COVID"
"147",2022-10-01,"B. Revenues",35307,"Post-COVID"
"148",2022-11-01,"B. Revenues",30832,"Post-COVID"
"149",2022-12-01,"B. Revenues",35326,"Post-COVID"
"150",2023-01-01,"B. Revenues",38815,"Post-COVID"
"151",2023-02-01,"B. Revenues",44544,"Post-COVID"
"152",2023-03-01,"B. Revenues",37643,"Post-COVID"
