REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2017-10,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,112.4
2017-11,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,120.8
2017-12,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,116.9
2018-01,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,120.6
2018-02,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,119.7
2018-03,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,123.1
2018-04,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,131.6
2018-05,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,135.9
2018-06,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,132.9
2018-07,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,133.9
2018-08,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,131.8
2018-09,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,130.4
2018-10,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,125.9
2018-11,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,113.8
2018-12,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,106.4
2019-01,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,103.1
2019-02,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,105.1
2019-03,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,117.7
2019-04,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,129.5
2019-05,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,130.7
2019-06,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,119.9
2019-07,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,124.4
2019-08,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,117.9
2019-09,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,116.9
2019-10,Canada,2016A000011124,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v1352087861,20.2,117.2
