REF_DATE,GEO,DGUID,Statistics,Characteristics,Wealth,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Total Asset,,,,,,,,,,,,,,,,
2017-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,13473968,,,,0
2018-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,,..,,,0
2018-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,,..,,,0
2018-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,,..,,,0
2018-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,13664444,,,,0
2019-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,,..,,,0
2019-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,,..,,,0
2019-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,,..,,,0
2019-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,14765590,,,,0
2020-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,14444356,,,,0
2020-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,15117371,,,,0
2020-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,15670716,,,,0
2020-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,16478646,,,,0
2021-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,17395302,,,,0
2021-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,17859216,,,,0
2021-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,18331197,,,,0
2021-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,19303870,,,,0
2022-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,19459449,,,,0
2022-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,18523053,,,,0
2022-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,18231441,,,,0
2022-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,18396672,,,,0
2023-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,18949652,,,,0
2023-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,19246502,,,,0
2023-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,18984556,,,,0
2023-10,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,19254983,,,,0
2024-01,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,19894438,,,,0
2024-04,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,20006003,,,,0
2024-07,Canada,2016A000011124,Value,All households,Total assets,Dollars,81,millions,6,v1277967905,1.1.1.1,20330588,,,,0
2017-10,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,7154409,,,,0
2018-01,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,,..,,,0
2018-04,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,,..,,,0
2018-07,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,,..,,,0
2018-10,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,7258920,,,,0
2019-01,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,,..,,,0
2019-04,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,,..,,,0
2019-07,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,,..,,,0
2019-10,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,7974561,,,,0
2020-01,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,7499779,,,,0
2020-04,Canada,2016A000011124,Value,All households,Financial assets,Dollars,81,millions,6,v1277967906,1.1.1.2,7948676,,,,0
