"","REF_DATE","Characteristics","Wealth","VALUE","covid"
"1",2017-10-01,"All households","Total assets",13473968,"Pre-COVID"
"2",2018-01-01,"All households","Total assets",NA,"Pre-COVID"
"3",2018-04-01,"All households","Total assets",NA,"Pre-COVID"
"4",2018-07-01,"All households","Total assets",NA,"Pre-COVID"
"5",2018-10-01,"All households","Total assets",13664444,"Pre-COVID"
"6",2019-01-01,"All households","Total assets",NA,"Pre-COVID"
"7",2019-04-01,"All households","Total assets",NA,"Pre-COVID"
"8",2019-07-01,"All households","Total assets",NA,"Pre-COVID"
"9",2019-10-01,"All households","Total assets",14765590,"Pre-COVID"
"10",2020-01-01,"All households","Total assets",14444356,"Pre-COVID"
"11",2020-04-01,"All households","Total assets",15117371,"COVID"
"12",2020-07-01,"All households","Total assets",15670716,"COVID"
"13",2020-10-01,"All households","Total assets",16478646,"COVID"
"14",2021-01-01,"All households","Total assets",17395302,"COVID"
"15",2021-04-01,"All households","Total assets",17859216,"COVID"
"16",2021-07-01,"All households","Total assets",18331197,"COVID"
"17",2021-10-01,"All households","Total assets",19303870,"COVID"
"18",2022-01-01,"All households","Total assets",19459449,"COVID"
"19",2022-04-01,"All households","Total assets",18523053,"COVID"
"20",2022-07-01,"All households","Total assets",18231441,"COVID"
"21",2022-10-01,"All households","Total assets",18396672,"Post-COVID"
"22",2023-01-01,"All households","Total assets",18949652,"Post-COVID"
"23",2023-04-01,"All households","Total assets",19246502,"Post-COVID"
"24",2023-07-01,"All households","Total assets",18984556,"Post-COVID"
"25",2023-10-01,"All households","Total assets",19254983,"Post-COVID"
"26",2024-01-01,"All households","Total assets",19894438,"Post-COVID"
"27",2024-04-01,"All households","Total assets",20006003,"Post-COVID"
"28",2024-07-01,"All households","Total assets",20330588,"Post-COVID"
"29",2017-10-01,"All households","Financial assets",7154409,"Pre-COVID"
"30",2018-01-01,"All households","Financial assets",NA,"Pre-COVID"
"31",2018-04-01,"All households","Financial assets",NA,"Pre-COVID"
"32",2018-07-01,"All households","Financial assets",NA,"Pre-COVID"
"33",2018-10-01,"All households","Financial assets",7258920,"Pre-COVID"
"34",2019-01-01,"All households","Financial assets",NA,"Pre-COVID"
"35",2019-04-01,"All households","Financial assets",NA,"Pre-COVID"
"36",2019-07-01,"All households","Financial assets",NA,"Pre-COVID"
"37",2019-10-01,"All households","Financial assets",7974561,"Pre-COVID"
"38",2020-01-01,"All households","Financial assets",7499779,"Pre-COVID"
"39",2020-04-01,"All households","Financial assets",7948676,"COVID"
"40",2020-07-01,"All households","Financial assets",8226014,"COVID"
"41",2020-10-01,"All households","Financial assets",8599486,"COVID"
"42",2021-01-01,"All households","Financial assets",8876368,"COVID"
"43",2021-04-01,"All households","Financial assets",9133389,"COVID"
"44",2021-07-01,"All households","Financial assets",9128565,"COVID"
"45",2021-10-01,"All households","Financial assets",9439236,"COVID"
"46",2022-01-01,"All households","Financial assets",9247174,"COVID"
"47",2022-04-01,"All households","Financial assets",8816438,"COVID"
"48",2022-07-01,"All households","Financial assets",8845253,"COVID"
"49",2022-10-01,"All households","Financial assets",9119199,"Post-COVID"
"50",2023-01-01,"All households","Financial assets",9406225,"Post-COVID"
"51",2023-04-01,"All households","Financial assets",9513581,"Post-COVID"
"52",2023-07-01,"All households","Financial assets",9359650,"Post-COVID"
"53",2023-10-01,"All households","Financial assets",9746806,"Post-COVID"
"54",2024-01-01,"All households","Financial assets",10131234,"Post-COVID"
"55",2024-04-01,"All households","Financial assets",10237161,"Post-COVID"
