REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,100,Increased ratio compared to Dec-2016
2017-10,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103.1,,3.1
2017-11,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103.2,,3.2
2017-12,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103.2,,3.2
2018-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103.2,,3.2
2018-02,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.9,,2.9
2018-03,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.9,,2.9
2018-04,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.7,,2.7
2018-05,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.7,,2.7
2018-06,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103,,3
2018-07,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103.1,,3.1
2018-08,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,103,,3
2018-09,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.9,,2.9
2018-10,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.9,,2.9
2018-11,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.9,,2.9
2018-12,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.9,,2.9
2019-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.8,,2.8
2019-02,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.8,,2.8
2019-03,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.8,,2.8
2019-04,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.6,,2.6
2019-05,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.5,,2.5
2019-06,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.4,,2.4
2019-07,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.2,,2.2
2019-08,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.3,,2.3
2019-09,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,102.6,,2.6
