"","REF_DATE","City","Province","Components.of.population.growth","VALUE","Type.of.area","covid"
"1","2017/2018","Canada","Canada","Births",314998,"Total CMA and CA","Pre-COVID"
"2","2018/2019","Canada","Canada","Births",311671,"Total CMA and CA","Pre-COVID"
"3","2019/2020","Canada","Canada","Births",310666,"Total CMA and CA","Pre-COVID"
"4","2020/2021","Canada","Canada","Births",301825,"Total CMA and CA","COVID"
"5","2021/2022","Canada","Canada","Births",303922,"Total CMA and CA","COVID"
"6","2022/2023","Canada","Canada","Births",294379,"Total CMA and CA","Post-COVID"
"7","2023/2024","Canada","Canada","Births",302004,"Total CMA and CA","Post-COVID"
"8","2017/2018","Canada","Canada","Deaths",227037,"Total CMA and CA","Pre-COVID"
"9","2018/2019","Canada","Canada","Deaths",226344,"Total CMA and CA","Pre-COVID"
"10","2019/2020","Canada","Canada","Deaths",239136,"Total CMA and CA","Pre-COVID"
"11","2020/2021","Canada","Canada","Deaths",247178,"Total CMA and CA","COVID"
"12","2021/2022","Canada","Canada","Deaths",256498,"Total CMA and CA","COVID"
"13","2022/2023","Canada","Canada","Deaths",269138,"Total CMA and CA","Post-COVID"
"14","2023/2024","Canada","Canada","Deaths",274386,"Total CMA and CA","Post-COVID"
"15","2017/2018","Canada","Canada","Immigrants",293062,"Total CMA and CA","Pre-COVID"
"16","2018/2019","Canada","Canada","Immigrants",303134,"Total CMA and CA","Pre-COVID"
"17","2019/2020","Canada","Canada","Immigrants",273686,"Total CMA and CA","Pre-COVID"
"18","2020/2021","Canada","Canada","Immigrants",219334,"Total CMA and CA","COVID"
"19","2021/2022","Canada","Canada","Immigrants",476485,"Total CMA and CA","COVID"
"20","2022/2023","Canada","Canada","Immigrants",453502,"Total CMA and CA","Post-COVID"
"21","2023/2024","Canada","Canada","Immigrants",446703,"Total CMA and CA","Post-COVID"
"22","2017/2018","Canada","Canada","Emigrants",91279,"Total CMA and CA","Pre-COVID"
"23","2018/2019","Canada","Canada","Emigrants",85950,"Total CMA and CA","Pre-COVID"
"24","2019/2020","Canada","Canada","Emigrants",72327,"Total CMA and CA","Pre-COVID"
"25","2020/2021","Canada","Canada","Emigrants",61668,"Total CMA and CA","COVID"
"26","2021/2022","Canada","Canada","Emigrants",92253,"Total CMA and CA","COVID"
"27","2022/2023","Canada","Canada","Emigrants",94308,"Total CMA and CA","Post-COVID"
"28","2023/2024","Canada","Canada","Emigrants",97089,"Total CMA and CA","Post-COVID"
"29","2017/2018","Canada","Canada","Births",278103,"Total CMA","Pre-COVID"
"30","2018/2019","Canada","Canada","Births",275635,"Total CMA","Pre-COVID"
"31","2019/2020","Canada","Canada","Births",275093,"Total CMA","Pre-COVID"
"32","2020/2021","Canada","Canada","Births",266758,"Total CMA","COVID"
"33","2021/2022","Canada","Canada","Births",268659,"Total CMA","COVID"
"34","2022/2023","Canada","Canada","Births",261189,"Total CMA","Post-COVID"
"35","2023/2024","Canada","Canada","Births",268244,"Total CMA","Post-COVID"
"36","2017/2018","Canada","Canada","Deaths",188676,"Total CMA","Pre-COVID"
"37","2018/2019","Canada","Canada","Deaths",187904,"Total CMA","Pre-COVID"
"38","2019/2020","Canada","Canada","Deaths",199975,"Total CMA","Pre-COVID"
"39","2020/2021","Canada","Canada","Deaths",206123,"Total CMA","COVID"
"40","2021/2022","Canada","Canada","Deaths",211508,"Total CMA","COVID"
"41","2022/2023","Canada","Canada","Deaths",222667,"Total CMA","Post-COVID"
"42","2023/2024","Canada","Canada","Deaths",227077,"Total CMA","Post-COVID"
"43","2017/2018","Canada","Canada","Immigrants",279518,"Total CMA","Pre-COVID"
"44","2018/2019","Canada","Canada","Immigrants",289229,"Total CMA","Pre-COVID"
"45","2019/2020","Canada","Canada","Immigrants",260745,"Total CMA","Pre-COVID"
"46","2020/2021","Canada","Canada","Immigrants",210522,"Total CMA","COVID"
"47","2021/2022","Canada","Canada","Immigrants",452882,"Total CMA","COVID"
"48","2022/2023","Canada","Canada","Immigrants",429767,"Total CMA","Post-COVID"
"49","2023/2024","Canada","Canada","Immigrants",418964,"Total CMA","Post-COVID"
"50","2017/2018","Canada","Canada","Emigrants",86259,"Total CMA","Pre-COVID"
"51","2018/2019","Canada","Canada","Emigrants",81332,"Total CMA","Pre-COVID"
"52","2019/2020","Canada","Canada","Emigrants",68402,"Total CMA","Pre-COVID"
"53","2020/2021","Canada","Canada","Emigrants",57763,"Total CMA","COVID"
"54","2021/2022","Canada","Canada","Emigrants",86543,"Total CMA","COVID"
"55","2022/2023","Canada","Canada","Emigrants",89103,"Total CMA","Post-COVID"
"56","2023/2024","Canada","Canada","Emigrants",91731,"Total CMA","Post-COVID"
"57","2017/2018","St. John's","NL","Births",1877,"CMA","Pre-COVID"
"58","2018/2019","St. John's","NL","Births",1878,"CMA","Pre-COVID"
"59","2019/2020","St. John's","NL","Births",1816,"CMA","Pre-COVID"
"60","2020/2021","St. John's","NL","Births",1803,"CMA","COVID"
"61","2021/2022","St. John's","NL","Births",1874,"CMA","COVID"
"62","2022/2023","St. John's","NL","Births",1639,"CMA","Post-COVID"
"63","2023/2024","St. John's","NL","Births",1605,"CMA","Post-COVID"
"64","2017/2018","St. John's","NL","Deaths",1698,"CMA","Pre-COVID"
"65","2018/2019","St. John's","NL","Deaths",1738,"CMA","Pre-COVID"
"66","2019/2020","St. John's","NL","Deaths",1733,"CMA","Pre-COVID"
"67","2020/2021","St. John's","NL","Deaths",1806,"CMA","COVID"
"68","2021/2022","St. John's","NL","Deaths",2075,"CMA","COVID"
"69","2022/2023","St. John's","NL","Deaths",2050,"CMA","Post-COVID"
"70","2023/2024","St. John's","NL","Deaths",2097,"CMA","Post-COVID"
