REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,COORDINATE,VALUE
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,36897
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,32283
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,29441
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,23585
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,43341
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,44277
2023/2024,"All census metropolitan areas and census agglomerations, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,2.4.1.1,45584
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,54382
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,53667
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,42886
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,38083
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,48912
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,50031
2023/2024,"All census metropolitan areas and census agglomerations, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,2.6.1.1,51505
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,130
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,-548
