REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,314998
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,311671
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,310666
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,301825
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,303922
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,294379
2023/2024,"All census metropolitan areas and census agglomerations, Canada",,Births,Total - gender,All ages,Persons,249,units,0,v1590626301,2.1.1.1,302004
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Deaths,Total - gender,All ages,Persons,249,units,0,v1590626643,2.2.1.1,227037
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Deaths,Total - gender,All ages,Persons,249,units,0,v1590626643,2.2.1.1,226344
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Deaths,Total - gender,All ages,Persons,249,units,0,v1590626643,2.2.1.1,239136
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Deaths,Total - gender,All ages,Persons,249,units,0,v1590626643,2.2.1.1,247178
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Deaths,Total - gender,All ages,Persons,249,units,0,v1590626643,2.2.1.1,256498
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Deaths,Total - gender,All ages,Persons,249,units,0,v1590626643,2.2.1.1,269138
