"","REF_DATE","City","Province","VALUE","covid"
"1",2017-10-01,"Canada","Canada",112.4,"Pre-COVID"
"2",2017-11-01,"Canada","Canada",120.8,"Pre-COVID"
"3",2017-12-01,"Canada","Canada",116.9,"Pre-COVID"
"4",2018-01-01,"Canada","Canada",120.6,"Pre-COVID"
"5",2018-02-01,"Canada","Canada",119.7,"Pre-COVID"
"6",2018-03-01,"Canada","Canada",123.1,"Pre-COVID"
"7",2018-04-01,"Canada","Canada",131.6,"Pre-COVID"
"8",2018-05-01,"Canada","Canada",135.9,"Pre-COVID"
"9",2018-06-01,"Canada","Canada",132.9,"Pre-COVID"
"10",2018-07-01,"Canada","Canada",133.9,"Pre-COVID"
"11",2018-08-01,"Canada","Canada",131.8,"Pre-COVID"
"12",2018-09-01,"Canada","Canada",130.4,"Pre-COVID"
"13",2018-10-01,"Canada","Canada",125.9,"Pre-COVID"
"14",2018-11-01,"Canada","Canada",113.8,"Pre-COVID"
"15",2018-12-01,"Canada","Canada",106.4,"Pre-COVID"
"16",2019-01-01,"Canada","Canada",103.1,"Pre-COVID"
"17",2019-02-01,"Canada","Canada",105.1,"Pre-COVID"
"18",2019-03-01,"Canada","Canada",117.7,"Pre-COVID"
"19",2019-04-01,"Canada","Canada",129.5,"Pre-COVID"
"20",2019-05-01,"Canada","Canada",130.7,"Pre-COVID"
"21",2019-06-01,"Canada","Canada",119.9,"Pre-COVID"
"22",2019-07-01,"Canada","Canada",124.4,"Pre-COVID"
"23",2019-08-01,"Canada","Canada",117.9,"Pre-COVID"
"24",2019-09-01,"Canada","Canada",116.9,"Pre-COVID"
"25",2019-10-01,"Canada","Canada",117.2,"Pre-COVID"
"26",2019-11-01,"Canada","Canada",115,"Pre-COVID"
"27",2019-12-01,"Canada","Canada",114.5,"Pre-COVID"
"28",2020-01-01,"Canada","Canada",114.6,"Pre-COVID"
"29",2020-02-01,"Canada","Canada",112.2,"Pre-COVID"
"30",2020-03-01,"Canada","Canada",91.3,"COVID"
"31",2020-04-01,"Canada","Canada",77.8,"COVID"
"32",2020-05-01,"Canada","Canada",91.4,"COVID"
"33",2020-06-01,"Canada","Canada",101,"COVID"
"34",2020-07-01,"Canada","Canada",105.5,"COVID"
"35",2020-08-01,"Canada","Canada",104.6,"COVID"
"36",2020-09-01,"Canada","Canada",104.1,"COVID"
"37",2020-10-01,"Canada","Canada",102.6,"COVID"
"38",2020-11-01,"Canada","Canada",101.1,"COVID"
"39",2020-12-01,"Canada","Canada",104.4,"COVID"
"40",2021-01-01,"Canada","Canada",111,"COVID"
"41",2021-02-01,"Canada","Canada",118.2,"COVID"
"42",2021-03-01,"Canada","Canada",125,"COVID"
"43",2021-04-01,"Canada","Canada",127.5,"COVID"
"44",2021-05-01,"Canada","Canada",131.5,"COVID"
"45",2021-06-01,"Canada","Canada",133.7,"COVID"
"46",2021-07-01,"Canada","Canada",138.4,"COVID"
"47",2021-08-01,"Canada","Canada",139,"COVID"
"48",2021-09-01,"Canada","Canada",138.9,"COVID"
"49",2021-10-01,"Canada","Canada",146,"COVID"
"50",2021-11-01,"Canada","Canada",145.8,"COVID"
"51",2021-12-01,"Canada","Canada",140,"COVID"
"52",2022-01-01,"Canada","Canada",146.6,"COVID"
"53",2022-02-01,"Canada","Canada",156.8,"COVID"
"54",2022-03-01,"Canada","Canada",175.2,"COVID"
"55",2022-04-01,"Canada","Canada",173.8,"COVID"
"56",2022-05-01,"Canada","Canada",194.8,"COVID"
"57",2022-06-01,"Canada","Canada",207.2,"COVID"
"58",2022-07-01,"Canada","Canada",187.8,"COVID"
"59",2022-08-01,"Canada","Canada",169.6,"Post-COVID"
"60",2022-09-01,"Canada","Canada",156.4,"Post-COVID"
"61",2022-10-01,"Canada","Canada",171.5,"Post-COVID"
"62",2022-11-01,"Canada","Canada",165.3,"Post-COVID"
"63",2022-12-01,"Canada","Canada",143.6,"Post-COVID"
"64",2023-01-01,"Canada","Canada",150.3,"Post-COVID"
"65",2023-02-01,"Canada","Canada",148.5,"Post-COVID"
"66",2023-03-01,"Canada","Canada",150.3,"Post-COVID"
"67",2023-04-01,"Canada","Canada",160.1,"Post-COVID"
"68",2023-05-01,"Canada","Canada",158.8,"Post-COVID"
"69",2023-06-01,"Canada","Canada",161.6,"Post-COVID"
"70",2023-07-01,"Canada","Canada",163.1,"Post-COVID"
"71",2023-08-01,"Canada","Canada",170.6,"Post-COVID"
"72",2023-09-01,"Canada","Canada",168.3,"Post-COVID"
"73",2023-10-01,"Canada","Canada",157.4,"Post-COVID"
"74",2023-11-01,"Canada","Canada",152.2,"Post-COVID"
"75",2023-12-01,"Canada","Canada",145.4,"Post-COVID"
"76",2024-01-01,"Canada","Canada",144.1,"Post-COVID"
"77",2024-02-01,"Canada","Canada",149.9,"Post-COVID"
"78",2024-03-01,"Canada","Canada",157.3,"Post-COVID"
"79",2024-04-01,"Canada","Canada",169.8,"Post-COVID"
"80",2024-05-01,"Canada","Canada",167.6,"Post-COVID"
"81",2024-06-01,"Canada","Canada",162.4,"Post-COVID"
"82",2024-07-01,"Canada","Canada",166.5,"Post-COVID"
"83",2024-08-01,"Canada","Canada",162.1,"Post-COVID"
"84",2024-09-01,"Canada","Canada",150.3,"Post-COVID"
"85",2024-10-01,"Canada","Canada",151.6,"Post-COVID"
"86",2024-11-01,"Canada","Canada",151.4,"Post-COVID"
"87",2024-12-01,"Canada","Canada",150.5,"Post-COVID"
"88",2017-10-01,"St. John's","NL",120,"Pre-COVID"
"89",2017-11-01,"St. John's","NL",126.8,"Pre-COVID"
